Louse	Hippoboscid	Bird host common name	Bird host scientific name	Bird host	Locality	Specific locality (State/Town)	Reference	Secondary Reference	ReferenceId
NIL	Ornithomya avicularia	Common cuckoo 	Cuculus canorus	Common cuckoo (Cuculus canorus)	Russia	Kurshskaya Kosa	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
NIL 	Ornithomya chloropus	Bluethroat 	Luscinia svecica	Bluethroat (Luscinia svecica)	Russia	Karelia	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
NIL	Ornithoica turdi	Thrush Nightingale 	Luscinia luscinia	Thrush Nightingale (Luscinia luscinia)	Moldova	PMR-Moldova (ПМР- Молдова)	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
Guimaraesiella amsel	Ornithomya fringillina*	Blackbird 	Turdus merula	Blackbird (Turdus merula)	Portugal	São Miguel Island / Terceira Island / Flores Island / Silves / Olhão	Tomás et al. (2021)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L403
Guimaraesiella amsel	Ornithomya fringillina*	Blackbird 	Turdus merula	Blackbird (Turdus merula)	Portugal	São Miguel Island / Terceira Island / Flores Island / Silves / Olhão	Tomás et al. (2021)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L403
Guimaraesiella amsel	Ornithomya fringillina*	Blackbird 	Turdus merula	Blackbird (Turdus merula)	Portugal	São Miguel Island / Terceira Island / Flores Island / Silves / Olhão	Tomás et al. (2021)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L403
Guimaraesiella amsel	Ornithomya fringillina*	Blackbird 	Turdus merula	Blackbird (Turdus merula)	Portugal	São Miguel Island / Terceira Island / Flores Island / Silves / Olhão	Tomás et al. (2021)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L403
Brueelia callaeincola	Ornithoica sp.	North Island saddleback 	Philesturnus rufusater	North Island saddleback (Philesturnus rufusater)	New Zealand	Tiritiri Matangi Island, Hauraki Gulf	Valim & Palma (2015)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L405
Sturnidoecus sp.	Icosta minor	Brown-crowned tchagra 	Tchagra australis	Brown-crowned tchagra (Tchagra australis)	South Africa	Polokwane Game Reserve, Limpopo Province	Sychra et al. (2020)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L389
Sturnidoecus sturni	Ornithomya chloropus	Merlin 	Falco columbarius	Merlin (Falco columbarius)	UK	Fair Isle, Shetland	Hill et al. (1967)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L335
