Louse	Hippoboscid	Bird host common name	Bird host scientific name	Bird host	Locality	Specific locality (State/Town)	Reference	Secondary Reference	ReferenceId
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	NIL	NIL	Hathaway (1943)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L331
Philopterus sp.	Ornithomya fringillina*	Brown-headed cowbird 	Molothrus ater	Brown-headed cowbird (Molothrus ater)	USA	Austin Ornithological Research Station, Cape Cod, Massachusetts	Herman (1937)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L333
Brueelia sp.	Pseudolynchia canariensis	NIL	NIL	NIL	India	Bombay	Hiregaudar & Khambata (1954)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L337
Hohorstiella giganteus	NIL	?Dove	?	?Dove	South Africa	Sterkfontein, Waterberg,Transvaal	Hopkins (1946)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L339
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	Peru	Lima	Iannacone (1992)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L341
NIL	Ornitoeca pusilla	Blue pitta 	Hydrornis cyaneus	Blue pitta (Hydrornis cyaneus)	Indonesia	Java, Present day Jakarta(Batavia)	Jacobson (1911)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L343
NIL 	Icosta pilosa	Canarian houbara 	Chlamydotis undulata fuertaventurae	Canarian houbara (Chlamydotis undulata fuertaventurae)	Spain	Canary Islands	Kehlmaier & Quaisser (2013)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L345
NIL	Ornithoica stipituri	Magnificent riflebird 	Lophorina magnifica alberti	Magnificent riflebird (Lophorina magnifica alberti)	Australia	Queensland	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica bistativa	Grey-cheeked bulbul 	Alophoixus bres	Grey-cheeked bulbul (Alophoixus bres)	Borneo	NIL	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
NIL	Ornithoica bistativa	Chestnut-capped laughingthrush 	Garrulax mitratus	Chestnut-capped laughingthrush (Garrulax mitratus)	Malaysia	Malaya	Maa (1966)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L347
